LANGUAGE, English, French
STRS_TW_dummy, "English" "French"
STR_TAA_TAG_ENABLE,"Enable or disable tag name","Activer ou desactiver tag name"
STR_TAA_TAG_DISTANCE,"Change distance value in meters.( current : %1)", "Changer la distance d'affichage en metres.( actuelle :%1)"
STR_TAA_TAG_DISTANCE_TXT,"Distance :","Distance :"
STR_TAA_TAG_COLOR_TXT,"Color :","Couleur :"
STR_TAA_TAG_RED,"Red","Rouge"
STR_TAA_TAG_BLUE,"Blue","Bleu"
STR_TAA_TAG_GREEN,"Green","Vert"
STR_TAA_TAG_OK,"Ok","Valider"
STR_TAA_TAG_CANCEL,"Cancel","Annuler"
STR_TAA_TAG_ASSIGN,"Assign a new key to display name tags","Assigner une nouvelle touche pour afficher le tag des noms"
STR_TAA_TAG_ASSIGN_TXT,"Assign","Assigner"
STR_TAA_TAG_APPLY_TXT,"Apply color","Appliquer la couleur"
STR_TAA_TAG_ENABLE_DISABLE,"Enable or disable :","Activer desactiver :"
STR_TAA_TAG_SUBJECT,"%1 TAA name","%1 TAA name"
STR_TAA_TAG_ABOUT, "About","A propos"
STR_TAA_TAG_ABOUT_CONTENT,"TAA name system allow you to display the names of the players when your cursor above and when you press keys windows (default). You can assign an other key to display players.Armaholic TAA name topic :  %1","TAA name system permet d'afficher le nom du joueur sur le curseur ou d'afficher les joueurs pres de vous en appuyant sur la touche windows (par defaut).Armaholic TAA name topic :  %1"
STR_TAA_TAG_APPLY_PLAYER, "Apply for player","Appliquer au joueur"
STR_TAA_TAG_RESET,		"Reset", "Reinitialiser"
STR_TAA_KEY_SURE,		"Do you really want to bind %1 ?", "Voulez vous vraiment assigner cette touche %1 ?"

